psu,a7,a8,relprac,floodrisk,pop1011_UNOSAT,dem_mean,dem_std,neigh_Rivers,centdist_MRiver,flood_exp,violent_vignette,effective,approve,vv_pop1011_UNOSAT,male,headh,age,read,math,educ,sunni,knowfullpca,simpleknow,vv_flood_exp
937,Barkhan,Barkhan,.23333333,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.5,.5,0,1,1,.52999997,0,0,0,1,1.3404211,.40000001,0
951,Barkhan,Barkhan,.16666667,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,1,1,.34999999,0,0,0,1,.68146592,.30000001,0
144,Barkhan,Barkhan,.30000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.75,.75,0,1,1,.55000001,0,0,0,1,1.0609791,.40000001,0
393,Barkhan,Barkhan,.26666668,.048734177,0,1.2624629,.20841773,0,1.3607925,1,1,1,.75,0,0,0,.23999999,0,1,0,1,2.978931,.89999998,1
857,Barkhan,Barkhan,.26666668,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.5,.5,0,0,0,.34,1,1,.5,1,.027402576,.1,0
951,Barkhan,Barkhan,.23333333,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,1,0,.2,0,0,0,1,.68146592,.30000001,0
4,Barkhan,Barkhan,.26666668,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.25,.25,0,0,0,.34,0,1,0,1,2.7387638,.89999998,0
307,Barkhan,Barkhan,.30000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,0,0,0,1,1,.5,0,,0,1,2.4313924,.80000001,0
437,Barkhan,Barkhan,,.048734177,0,1.2624629,.20841773,0,1.3607925,0,,,,,1,1,.44999999,0,,0,1,1.3678237,.5,
916,Barkhan,Barkhan,.66666669,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,1,0,.25,1,1,.5,1,2.4313924,.80000001,0
89,Barkhan,Barkhan,.36666667,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,0,0,0,0,0,.36000001,0,,0,1,.68146592,.30000001,0
307,Barkhan,Barkhan,.53333336,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,0,0,0,1,1,.5,0,1,0,1,1.6679302,.60000002,0
144,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,0,0,0,1,1,.44999999,0,0,0,1,1.3678237,.5,0
973,Barkhan,Barkhan,,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.5,0,0,0,0,.49000001,0,0,0,1,1.4355742,.5,0
144,Barkhan,Barkhan,.30000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.75,.75,0,1,0,.25999999,1,1,.5,1,2.7387638,.89999998,0
973,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.5,0,0,0,0,.34,1,,0,1,1.3678237,.5,0
437,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,,,,,1,1,.34999999,1,,.66666669,1,2.7387638,.89999998,
393,Barkhan,Barkhan,.43333334,.048734177,0,1.2624629,.20841773,0,1.3607925,.333,1,1,0,0,0,0,.34999999,0,1,0,1,2.978931,.89999998,.333
937,Barkhan,Barkhan,.43333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,,,,,1,1,.31999999,1,1,.16666667,1,2.4313924,.80000001,
951,Barkhan,Barkhan,.36666667,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,1,0,.28,1,1,.33333334,1,1.8195233,.60000002,0
89,Barkhan,Barkhan,.43333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,0,0,.41999999,1,,0,1,.7178396,.30000001,0
916,Barkhan,Barkhan,.2,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.75,.75,0,1,1,.44,0,0,0,1,.68146592,.30000001,0
89,Barkhan,Barkhan,.26666668,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.75,.5,0,0,0,.44999999,1,,0,1,.027402576,.1,0
104,Barkhan,Barkhan,.33333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,0,0,.2,0,1,0,1,1.0286584,.30000001,0
144,Barkhan,Barkhan,.36666667,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,1,0,.30000001,1,1,.5,1,2.4313924,.80000001,0
973,Barkhan,Barkhan,,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,0,0,.44,0,0,0,1,1.056061,.40000001,0
437,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.5,0,0,1,0,.28,1,,.5,1,2.1312859,.69999999,0
937,Barkhan,Barkhan,.56666666,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,0,0,1,1,.46000001,0,0,0,1,1.9354999,.69999999,0
307,Barkhan,Barkhan,,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.75,0,0,1,1,.41999999,1,0,0,1,1.9354999,.69999999,0
